"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"5","2","Dead Lift","129.3","139.0","2025-04-21"," ","","3","90.0","3","106.0","6","116.0"
"5","2","Bench Press","88.0","104.0","2025-04-22"," ","","3","60.0","3","70.0","9","80.0"
"5","2","Squat","116.0","124.0","2025-04-24"," ","","3","80.0","3","96.0","5","106.0"
"5","2","Military Press","58.0","63.0","2025-04-25"," ","","3","40.0","3","46.0","4","56.0","1","50.0"
"5","3","Bench Press","88.0","106.0","2025-04-28"," ","","5","66.0","3","76.0","7","86.0"
"5","3","Dead Lift","129.3","168.0","2025-04-29"," ","","5","100.0","3","110.0","10","126.0"
"5","3","Military Press","58.0","68.0","2025-05-01"," ","","5","46.0","3","50.0","4","60.0"
"5","3","Squat","116.0","136.0","2025-05-02"," ","","5","90.0","3","100.0","7","110.0"
"6","1","Dead Lift","133.3","135.0","2025-05-05"," ","","5","90.0","5","100.0","5","116.0"
"6","1","Bench Press","90.0","91.0","2025-05-07"," ","","5","59.0","5","68.0","5","78.0"
"6","1","Squat","120.0","117.0","2025-05-08"," ","","5","80.0","5","90.0","5","100.0"
"6","1","Military Press","60.0","58.0","2025-05-09"," ","","5","40.0","5","46.0","5","50.0"
"6","2","Dead Lift","133.3","148.0","2025-05-12"," ","","3","100.0","3","110.0","7","120.0"
"6","2","Bench Press","90.0","100.0","2025-05-13"," ","","3","66.0","3","76.0","5","86.0"
"6","2","Squat","120.0","130.0","2025-05-15"," ","","3","88.0","3","98.0","6","108.0"
"6","2","Military Press","60.0","65.0","2025-05-16"," ","","4","40.0","3","46.0","5","56.0"
"6","3","Dead Lift","133.3","173.0","2025-05-19"," ","","5","100.0","3","120.0","10","130.0","1","110.0"
"6","3","Bench Press","90.0","109.0","2025-05-20"," ","","5","68.0","3","78.0","7","88.0"
"6","3","Squat","120.0","147.0","2025-05-22"," ","","5","90.0","3","106.0","8","116.0"
"6","3","Military Press","60.0","68.0","2025-05-23"," ","","5","48.0","1","50.0","1","68.0","1","60.0"
"7","1","Dead Lift","137.3","138.0","2025-05-25"," ","","5","90.0","5","108.0","5","118.0","1","100.0"
